No;name;description;Bahan_Masakan;Bahan_Utama;Cara_Masak;Usia_Min;Usia_Max;Tekstur;Est_Harga;Kalori_(kkal);Protein_(g);Lemak_(g);Zat_Besi_(mg);Seng_(mg);Tag_Makanan;Potensi_Alergi;Image_URL
24;Nugget Nasi Ikan Kembung;Sebagai asupan penambah berat badan, menu **Nugget Nasi Ikan Kembung** ini sangat saya rekomendasikan untuk si Kecil usia 11 bulan ke atas. Kandungan protein 8.0g dan zat besi 1.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur makanan jari-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 ekor ikan kembung

- 2 lembar daun salam

- 1 centong nasi

- 1 siung bawang putih (iris tipis, goreng kering)

- 1/2 sdt garam

- 1 sdt kaldu bubuk

- 1 butir telur ayam

- 1 sdt minyak sayur

- 2 sdm tepung terigu

- secukupnya air

- 10-12 sdm tepung panir";Ikan Kembung, Nasi;"- Rebus ikan dengan daun salam sampai matang. Kemudian pisahkan tulangnya dan cincang kasar. 

- Masukkan nasi, garam, bubuk kaldu, bawang putih dan ikan yang sudah di cincang tadi dengan chopper/blender. 

- Setelah halus, tambahkan telur ayam, aduk rata. Lalu masukkan ke wadah (kaca) yang telah diolesi sedikit margarin. 

- Kukus selama 15-20 menit, balut tutup kukusan dengan kain agar uap air tidak menetes ke adonan nugget. 

- Setelah adonan sudah matang, angkat dan tunggu sampai dingin (suhu ruangan). 

- Potong sesuai keinginan, celupkan ke bahan pelapis tepung (tidak cair/tidak terlalu kental/tidak menggumpal) lalu gulingkan ke tepung panir. Pastikan semua permukaan tertutupi tepung panir. 

- Bisa disimpan dulu di kulkas agar lebih set. 

- Goreng di minyak panas api cenderung kecil sampai kecoklatan. 

- Cocok untuk makan berat ataupun cemilan sikecil.";11;24;Makanan Jari;12000;210;8;9;1,5;1;Penambah Berat Badan;Ikan Kembung, nasi, Telur Ayam, Tepung Terigu;recipes/nugget_nasi_ikan_kembung.jpg
25;Pepes Ikan Dori (Nasi Lembek);Bunda, menu **Pepes Ikan Dori (Nasi Lembek)** adalah pilihan cerdas untuk fase tumbuh kembang usia 7 bulan. Dengan profil nutrisi yang kaya (5.1g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur halus sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 30 gram beras

- 75 gram fillet dori

- 10 gram kabocha, potong2

- 10 gram kacang merah, potong2

- 1 siung bawang putih ukuran kecil, cincang halus

- 1 buah bawang merah ukuran kecil, iris tipis

- 1 telunjuk daun bawang, iris tipis

- 1 lembar daun salam

- 400 ml air";Nasi, Ikan Dori;"- Rebus air hingga mendidih. Masukkan beras, masak hingga matang. 

- Masukkan ke dalam wadah tahan panas bawang putih, bawang merah, daun bawang, daun salam, kabocha, kacang merah dan ikan dori. Tambahkan air. 

- Kukus nasi dan pepes selama 20 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan, kalau dari kulkas.";7;12;Bubur Halus;10000;115;5,1;2,9;1;0,7;Peninggi Badan;Ikan Dori, Nasi, Kacang Merah, Kabocha;recipes/pepes_ikan_dori.jpg
26;Bubur Prohe Salmon Tempe;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bubur Prohe Salmon Tempe**. Menu ini diformulasikan khusus untuk usia 6 bulan dengan fokus pada peninggi badan. Zat besi 1.4mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 40 gram Salmon/ Secukupnya untuk 2x makan (pagi dan sore)

- secukupnya tempe

- secukupnya wortel

- secukupnya nasi

- 1 lembar daun salam";Ikan Salmon, Nasi;"- Potong Salmon, kemudian masukan salmon ke dalam panci yang sudah dipanas kan tumis sebentar sampai keluar minyak dari salmonnya dan masukan daun salam sebagai aromatik 

- Masukan tempe dan wortel kemudian masukkan air 

- Setelah dirasa wortelnya sudah matang, masukkan nasi (semua takaran bahan di sesuaikan ya moms untuk 2x makan) 

- Setelah air menyusut matikan kompor kemudian saring makanan 

- Setelah semuanya di saring, makanan di bagi menjadi 2 wadah. wadah pertama untuk di pagi hari, wadah ke dua bisa disimpan dikulkas untuk sore";6;8;Bubur Halus;18000;195;10,8;5,6;1,4;0,9;Peninggi Badan;Ikan Salmon, Tempe, Nasi;recipes/bubur_prohe_salmon_tempe.jpg
27;Kukus Ikan Dori Kembang Kol;Sebagai asupan gizi seimbang, menu **Kukus Ikan Dori Kembang Kol** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 5.0g dan zat besi 0.7mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 75 gram fillet dori

- 30 gram beras

- 25 gram kuntum kembang kol

- 25 gram buncis, potong2

- 400 ml air

- 1 lembar daun salam";Nasi, Ikan Dori;"- Rebus air hingga mendidih. Masukkan beras, masak hingga matang. 

- Letakkan daun salam di dasar wadah tahan panas. Susun fillet dori di atasnya. 

- Kukus nasi, dori, kembang kol dan buncis selama 15 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan, kalau dari kulkas.";6;8;Bubur Halus;14000;100;5;1,8;0,7;0,4;Gizi Seimbang;Ikan Dori;recipes/kukus_ikan_dori_kembang_kol.jpg
28;Abon Ikan Kembung Homemade;Bunda, menu **Abon Ikan Kembung Homemade** adalah pilihan cerdas untuk fase tumbuh kembang usia 8 bulan. Dengan profil nutrisi yang kaya (7.0g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur taburan/halus sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 350 gram ikan kembung

- 4 lembar daun jeruk

- 1 batang serai

- 7 siung bawang merah,

- 5 siung bawang putih

- 1 sdm ketumbar

- 1 sdt kunyit bubuk

- 2 jumput gula

- 1 sdt garam

- 1 sdt kaldu jamur";Ikan Kembung;"- Siapkan ikan kembung yang sudah dikukus, dipisahkan dari durinya, dan sdh di chopper. 

- Semua bumbu dicampur dan dihaluskan. Kecuali gula, daun jeruk, dan serai. 

- Berikan minyak secukupnya lalu tumis bumbu hingga harum. 

- Setelah harum, masukkan ikan kembung dan serai. Tambahkan gula. Kecilkan api. 

- Aduk aduk sampai kering dan warna berubah menjadi kuning kecoklatan, dengan masih menggunakan api kecil. Lalu, angkat dan tiriskan sampai dingin.";8;24;Taburan/Halus;25000;85;7;5;1,8;1,2;Peninggi Badan;Ikan Kembung;recipes/abon_ikan_kembung_homemade.jpg
29;Ikan Tuna Steam Jahe Tomat;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Ikan Steam Jahe Tomat**. Menu ini diformulasikan khusus untuk usia 12 bulan dengan fokus pada gizi seimbang. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 3 ekor ikan tuna

- 1 ruas jahe

- 2 buah bawang merah

- 3 buah bawang putih

- 1/2 buah jeruk nipis

- 1/2 buah tomat

- Brokoli

- 1 batang sereh

- 4 lembar daun jeruk

- Saos tiram

- Garam";Ikan Tuna;"- Iris bawang merah, bawang putih, jahe, tomat 

- Dalam wadah, masukkan ikan dan perbumbuan yang sudah diiris, kasih perasan jeruk nipis, sedikit garam, dan saos tiram 

- Kukus selama 30 menit. 5 menit terakhir masukkan brokoli, lalu kukus sampai matang";12;24;Makanan Keluarga;13000;150;10;6,5;1,2;1;Gizi Seimbang;Ikan Tuna;recipes/ikan_steam_jahe_tomat.jpg
30;Bubur Ikan Lele Santan;Sebagai asupan penambah berat badan, menu **Bubur Ikan Lele Santan** ini sangat saya rekomendasikan untuk si Kecil usia 10 bulan ke atas. Kandungan protein 4.5g dan zat besi 1.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 30 gram beras

- 30 gram fillet lele

- 10 gram wortel, cincang halus

- 10 gram edamame, cincang halus

- 450 ml air

- 30 gram santan";Ikan Lele, Nasi;"- Siapkan bahan2nya. 

- Tumis lele hingga berubah warna. Sisihkan. Periksa lagi apakah masih ada duri. 

- Rebus air hingga mendidih. Masukkan beras, masak hingga air berkurang setengahnya. Masukkan tumisan lele, wortel dan edamame. Masak hingga bubur matang. Tambahkan santan, masak hingga sat. 

- Saring bubur. Ambil bubur yg di bagian bawah saringan. Buang ampas yg di atas saringan. Bagi dua dan simpan dalam wadah tertutup. Masukkan kulkas kalau belum dimakan. 

- Kukus bubur selama 5 menit sebelum dimakan, kalau dari kulkas.";10;12;Cincang Halus;8000;160;4,5;4,8;1;0,8;Penambah Berat Badan;Ikan Lele, Edamame;recipes/bubur_ikan_lele_santan.jpg
31;Puding Telur Susu;Bunda, menu **Puding Telur Susu** adalah pilihan cerdas untuk fase tumbuh kembang usia 10 bulan. Dengan profil nutrisi yang kaya (8.7g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur puding lembut sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 butir kuning telur bebek

- 100 ml susu UHT

- 1 sdm santan

- secukupnya keju parut";Telur Bebek;"- Campur dan aduk rata semua bahan 

- Masukkan ke dalam wadah tahan panas 

- Kukus selama 20 menit";10;24;Puding Lembut;6000;244;8,7;19,9;0,9;0,6;Penambah Berat Badan;Telur Bebek, Susu, Keju;recipes/puding_telur_susu.jpg
32;Bubur Makaroni Susu Telur;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Bubur Makaroni Susu Telur**. Menu ini diformulasikan khusus untuk usia 11 bulan dengan fokus pada gizi seimbang. Zat besi 1.1mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 2 sdm macaroni

- 1 telur ayam

- 60 ml susu formula / susu uht

- jari kelingking Wortel ukuran

- secukupnya Keju parut";Telur Ayam;"- Rebus macaroni hingga empuk. Lalu tiriskan. 

- Parut keju dan wortel. Lalu masukkan ke dalam wadah yang berisi susu. 

- Masukkan telur ayam ke dalam wadah yang berisi susu, wortel dan keju tadi. Lalu panaskan ke dalam teflon. 

- Setelah itu masukkan macaroni yg sudah empuk tadi ke dalam adonan teflon. Aduk aduk lalu tes rasa.";11;24;Bubur Kasar;8000;221;13;11;1,1;0,8;Gizi Seimbang;Telur, Susu, Keju;recipes/bubur_makaroni_susu_telur.jpg
33;Roti Tawar Susu Telur Puyuh;Sebagai asupan penambah berat badan, menu **Roti Tawar Susu Telur Puyuh** ini sangat saya rekomendasikan untuk si Kecil usia 9 bulan ke atas. Kandungan protein 8.9g dan zat besi 1.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur kental-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 1 lembar roti tawar

- 80 ml sufor / susu uht

- 3 buah telur puyuh

- 2 sdm tepung maizena

- 1 sdm margarin

- 1 lembar daun pandan";Roti Tawar;"- Buang pinggiran coklat pada roti tawar 

- Gunting roti kecil kecil sesuai selera 

- Siapkan susu, dan telur. Aduk aduk lalu masukkan tepung maizena. Agar sedikit mengental 

- Panaskan teflon dengan sedikit margarin. Masukkan campuran susu, telur dan maizena tadi. 

- Tambahkan daun pandan. Agar wangi ketika matang 

- Aduk aduk sampai mengental, lalu masukkan potongan roti tawar tadi. Tunggu hingga mengental baru matikan kompor.";9;12;Bubur Kental;7000;323;8,9;18;1,5;1;Penambah Berat Badan;Tepung Gandum, Susu, Telur, Margarin;recipes/mpasi_roti_tawar_susu_puyuh.jpg
34;Snack Booster Ubi Susu;Bunda, menu **Snack Booster Ubi Susu** adalah pilihan cerdas untuk fase tumbuh kembang usia 6 bulan. Dengan profil nutrisi yang kaya (13.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur halus sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 Ubi putih/kuning/ungu

- 1 butir telur ayam

- secukupnya Keju parut

- 60 ml sufor/asi/susu uht

- 1 sdm santan

- 2 sdm tepung terigu

- 1 sdm tepung maizena

- secukupnya Margarin

- Garam secukupnya (optional)";;"- Siapkan dandang untuk mengukus ubi. Kukus ubi sekitar 15 menit. Tunggu hingga empuk 

- Siapkan teflon dan margarin, lalu masukkan susu, santan, keju dan telur, lalu aduk aduk, tunggu hingga mendidih. 

- Setelah mendidih lumatkan ubi dengan garpu, blender atau alat lain untuk melembutkan. 

- Setelah itu campur kan semua bahan ke dalam ubi tadi, masukkan tepung terigu dan tepung maizena. Tambahkan sedikit garam. 

- Lalu aduk aduk hingga tercampur rata. Setelah itu goreng dengan api kecil. Setelah warna keemasan, angkat dan tiriskan. Selamat mencoba.";6;9;Bubur Halus;9000;391;13,5;17,8;1,2;0,9;Penambah Berat Badan;Ubi, Telur, Keju, Susu, Margarin;recipes/mpasi_snack_booster_ubi_susu.jpg
35;Panacotta Strawberry MPASI;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Panacotta Strawberry MPASI**. Menu ini diformulasikan khusus untuk usia 7 bulan dengan fokus pada penambah berat badan. Zat besi 0.5mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 200 ml susu UHT (saya pakai merk ultramilk) plain

- 5 gr agar-agar plain (1 sendok teh)

- 10 gr keju cheddar parut

- 1 buah kuning telur

- 5 buah strawberry

- Sejumput gula (untuk adonan selai, opsional)";Agar-agar plain;"- Campur dan aduk semua bahan (susu UHT, keju parut, kuning telur & agar-agar plain) dalam satu wadah, kemudian saring dan masukkan ke dalam panci/Teflon 

- Nyalakan kompor pada api kecil dan masak sambil diaduk perlahan hingga adonan meletup-letup (tanda sudah matang)Bagi adonan ke dalam 2 wadah sama rata, boleh satu wadah jika anak bisa langsung makan habis kemudian tunggu hingga set 

- Untuk selai strawberry, cuci buah dan cincang kasar/setengah kasar. Kemudian masak dengan tambahkan sedikit air dan gula (opsional) hingga mendapat kekentalan yang diinginkan 

- Jika adonan sudah set/setengah set tuang selai strawberry diatasnya. Karena milik saya kurang set, jadi selai nya tenggelam dan tercampur 

- Selanjutnya, simpan dalam chiller. Nikmati dalam kondisi dingin";7;24;Puding Lembut;8500;253;12,4;15,4;0,5;0,4;Penambah Berat Badan;Susu, Keju, Telur;recipes/mpasi_panacotta_strawberry.jpg
36;Sup Krim Jamur Champignon;Sebagai asupan penambah berat badan, menu **Sup Krim Jamur Champignon** ini sangat saya rekomendasikan untuk si Kecil usia 6 bulan ke atas. Kandungan protein 13.1g dan zat besi 1.0mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur bubur halus-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 buah Jamur Champignon

- 1 butir telur

- 200 ml susu full cream

- 1/4 potong bawang bombai (bisa diskip)

- 2 biji bawang putih

- 2 biji bawang merah

- 1 1/2 sdm Penyedap rasa mpasi

- 1/2 sdt merica

- Sedikit parsley

- 1 sendok tepung terigu (aku pakai Gasol tepung beras organik, tepung terigu biasa juga bisa)

- 2 sdm minyak kelapa (aku pake Barco)";Jamur Champignon;"- Iris bawang merah, bawang putih, dan bawang bombay 

- Masukan minyak kelapa dan tumis perbawangan, setelah wangi masukan jamur champignon sampai layu kemudian tambahkan tepung beras 

- Setelah tercampur semua masukan susu full cream lalu tambahkan telur sambil diaduk 

- Tambahkan penyedap rasa, merica, dan parsley 

- Selesai Jangan lupa koreksi rasa. Selamat menikmati";6;10;Bubur Halus;10000;358;13,1;26,4;1;0,7;Penambah Berat Badan;Jamur Champignon, Telur, Susu;recipes/sup_krim_jamur_champignon.jpg
37;Snack Banana Cheesecake;Bunda, menu **Snack Banana Cheesecake** adalah pilihan cerdas untuk fase tumbuh kembang usia 8 bulan. Dengan profil nutrisi yang kaya (14.1g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur makanan jari sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 1 Buah Pisang Cavendish Matang (kalo pake pisang kecil 2buah)

- 125 ml Susu UHT

- Secukupnya Keju Parut

- 1 Butir Telur Ayam

- 1 sdm Butter / Margarin (opsional biar lebih wangi)";Pisang;"- Panaskan Kukusan. Lapisi tutupnya pake kain 

- Blender semua bahan sampai halus dan tercampur semua 

- Foto langkah ke 2 dari resep Banana Cheesecake (Snack Mpasi Start 6bulan). 

- Bagi 2 ke dalam wadah kaca tahan panas. Beri topping keju parut. (Untuk usia 6bulan disaring yaa) 

- Kukus selama kurleb 20menit. Angkat dan sajikan";8;24;Makanan Jari;11000;299;14,1;13,4;0,6;0,5;Penambah Berat Badan;Susu, Keju, Telur, Margarin;recipes/snack_mpasi_banana_cheesecake.jpg
38;Pancake Pisang Bayam Oat;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Pancake Pisang Bayam Oat**. Menu ini diformulasikan khusus untuk usia 11 bulan dengan fokus pada peninggi badan. Zat besi 1.8mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"2 buah pisang apa aja atau 1 pisang candevis klo gede

- 1 buah telur ayam kampung

- 5 sdm instant oat atau tepung oat

- 5 lembar besar bayam

- 5 sdm susu uht";Pisang, Oat;"- Masukan semua bahan ke dalam blender atau choper haluskan 

- Sesuaikan aja teksturnya klo kurang tepung maka boleh ditambahkan ya, kasih sedikit gula/ honey (opsional) klo pisang udah manis gak usah kasih tambahan lagi 

- Panaskan mentega cetak deh pancakenya. masak kedua sisi, laku tata dipiring";11;24;Makanan Jari;7500;493;20,8;12,3;1,8;1;Peninggi Badan;Telur, Tepung Gandum, Susu;recipes/pancake_pisang_bayam_oat.jpg
39;French Toast Abon MPASI;Sebagai asupan gizi seimbang, menu **French Toast Abon MPASI** ini sangat saya rekomendasikan untuk si Kecil usia 9 bulan ke atas. Kandungan protein 15.0g dan zat besi 1.5mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur makanan jari-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 2 lembar roti tawar - buang pinggira

- 1 telur ayam kampung / negeri

- 3 sdm Susu UHT

- 1/2 sdm mentega/ butter

- secukupnya cinnamon powder

- 1 sdm abon bumboo";Roti Tawar;"- Potong pinggiran roti olesi dengan mentega/ butter lalu taburi abon sebagai isian di satu sisi roti, lalu rapatkan 

- Masukan telur, susu dan cinnamon powder ke dalam mangkok dan kocok lepas, lalu celupkan roti kedalamnya 

- Panaskan mentega/ butter, lalu panggang k teflon yang sudah ada butter/mentega, tuang sisa telur keatasnya 

- Lalu dibalik ya pastikan dua sisi terpanggang sempurna";9;24;Makanan Jari;8000;294;15;14,8;1,5;1,2;Gizi Seimbang;Tepung Gandum, Telur, Susu, Mentega;recipes/french_toast_abon_mpasi.jpg
40;Bubur Jagung Susu Keju;Bunda, menu **Bubur Jagung Susu Keju** adalah pilihan cerdas untuk fase tumbuh kembang usia 12 bulan. Dengan profil nutrisi yang kaya (13.5g protein), resep ini mendukung kenaikan berat badan yang sehat. Tekstur bubur kental sangat pas untuk stimulasi oromotorik tanpa risiko tersedak.;"- 2 buah jagung (dipipil)

- 1 sdm tepung terigu

- 4 sdm maizena

- 2 sdm fiber creme

- 2 sdm gula pasir

- 1/2 sdt garam

- 100 mL susu UHT full cream

- 750 mL air

- 1 lembar daun pandan

- secukupnya keju parut";Jagung;"- Siapkan bahan-bahannya. 

- Blender 2 buah jagung yang telah dipipil. 

- Siapkan adonan : larutkan tepung terigu dengan sedikit air, larutkan maizena dengan sedikit air, larutkan fiber creme dengan air panas (minimal 70 derajat). 

- Rebus air bersama daun pandan. 

- Masukkan jagung yang sudah diblender, aduk. 

- Masukkan susu UHT full cream, aduk. 

- Masukkan larutan tepung terigu, aduk. 

- Masukkan gula dan garam, aduk rata, dan tes rasa. Jika kurang manis, dapat ditambahkan gula. Begitu juga garamnya. 

- Masukkan larutan maizena. Aduk rata hingga tidak ada maizena atau tepung yang menggumpal. Setelah beberapa saat, bubur jagung akan sedikit mengental. 

- Masukkan larutan fiber creme, aduk rata. Meskipun mendidih, api jangan dimatikan. Tetap aduk hingga tanak. 

- Setelah tanak, matikan api. Sajikan di mangkuk, kemudian tambahkan topping parutan keju. 

- Bubur siap dihidangkan dengan rasa manis, legit, dan gurih.";12;24;Bubur Kental;9000;621;13,5;14,7;0,8;0,8;Penambah Berat Badan;Jagung, Susu, Keju;recipes/bubur_jagung_mpasi_1plus.jpg
41;Telur Ceplok Sayuran Kukus;Optimalkan 1000 hari pertama kehidupan si Kecil dengan **Telur Ceplok Sayuran Kukus**. Menu ini diformulasikan khusus untuk usia 12 bulan dengan fokus pada gizi seimbang. Zat besi 1.2mg dan protein berkualitas tinggi di dalamnya membantu pembentukan sel darah merah dan imunitas yang kuat.;"- 45 gram kentang, potong memanjang

- 1 butir telur ayam

- 15 gram wortel, potong memanjang

- 15 gram buncis, potong";Kentang;"- Kukus kentang selama 5 menit. Masukkan wortel dan buncis, lalu kukus semuanya selama 15 menit. Bagi dua dan simpan dalam wadah tertutup. 

- Buat telor ceplok di atas teflon tanpa dioles minyak. Bagi dua dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan kalau dari kulkas.";12;24;Makanan Keluarga;5000;128;7,4;5,1;1,2;0,6;Gizi Seimbang;Kentang, Telur;recipes/telur_ceplok_sayuran_kukus.jpg
42;Orak Arik Telur Sayur;Sebagai asupan penambah berat badan, menu **Orak Arik Telur Sayur** ini sangat saya rekomendasikan untuk si Kecil usia 10 bulan ke atas. Kandungan protein 12.2g dan zat besi 1.8mg di dalamnya sangat krusial untuk mencegah stunting dan mendukung perkembangan otak. Tekstur cincang kasar-nya dirancang aman untuk melatih kemampuan mengunyah bayi.;"- 75 gram kentang, potong memanjang

- 1 butir telur bebek

- 25 gram wortel, potong memanjang

- 25 gram buncis, potong2";Kentang;"- Orak-arik telur bebek di atas teflon tanpa minyak. Bagi tiga dan simpan dalam wadah tertutup. 

- Kukus kentang, wortel dan buncis selama 15 menit. Bagi tiga dan masukkan dalam wadah tertutup. Simpan dalam kulkas apabila belum dimakan. 

- Kukus selama 5 menit sebelum dimakan, kalau dari kulkas.";10;24;Nasi Lembek;6000;231;12,2;15,7;1,8;1,1;Penambah Berat Badan;Kentang, Telur Bebek;recipes/orak_arik_telur_sayur.jpg
